combo,best_params,best_threshold_mean
mentalroberta__lora-finetune,"{""lr"": 0.0002, ""rank"": 16, ""dropout"": 0.0}",0.438583242893219
roberta__lora-finetune,"{""lr"": 0.0002, ""rank"": 8, ""dropout"": 0.1}",0.45446752905845644
